#"source OuterVoltage","source TotalCurrent","source Charge","drain OuterVoltage","drain TotalCurrent","drain Charge","gate OuterVoltage","gate TotalCurrent","gate Charge","substrate OuterVoltage","substrate TotalCurrent","substrate Charge"
2.26867290588191E-33,-5.35714594898818E-08,7.60632208970090E-16,5.10000000000000E-01,5.35714598598872E-08,2.73756539571136E-15,0.00000000000000E+00,-3.94317774458017E-32,-2.34839567738520E-16,0.00000000000000E+00,-3.69784446843867E-16,-2.87724798500580E-15
-3.60154355709352E-34,-5.36363955491204E-08,7.60608415544829E-16,5.20000000000000E-01,5.36363959218679E-08,2.76241246363741E-15,0.00000000000000E+00,-3.70174513206156E-32,-2.50713465445371E-16,0.00000000000000E+00,-3.72660125560477E-16,-2.88620007495995E-15
-4.39778068839540E-34,-5.37012269904403E-08,7.60584470480476E-16,5.30000000000000E-01,5.37012273661281E-08,2.78701082246815E-15,0.00000000000000E+00,-6.75970998742408E-32,-2.66358655133368E-16,0.00000000000000E+00,-3.75744820476317E-16,-2.89513194325399E-15
-5.19421230849332E-34,-5.37659541413294E-08,7.60560373441695E-16,5.40000000000000E-01,5.37659545201187E-08,2.81136902717114E-15,0.00000000000000E+00,-5.79404008940280E-32,-2.81783607531022E-16,0.00000000000000E+00,-3.78623535811640E-16,-2.90404367373000E-15
-5.99044943979517E-34,-5.38305768400549E-08,7.60536124233827E-16,5.50000000000000E-01,5.38305772212899E-08,2.83549459763101E-15,0.00000000000000E+00,1.42841743052572E-32,-2.96995747329305E-16,0.00000000000000E+00,-3.81331357130018E-16,-2.91293536123714E-15
-6.38856800544610E-34,-5.38950945420049E-08,7.60511722769878E-16,5.60000000000000E-01,5.38950949266158E-08,2.85939414247527E-15,0.00000000000000E+00,-7.40349969627356E-32,-3.12001578820579E-16,0.00000000000000E+00,-3.84698995607882E-16,-2.92180711000011E-15
5.95952566000447E-34,-5.39595064281429E-08,7.60487169059449E-16,5.70000000000000E-01,5.39595068155342E-08,2.88307347499183E-15,0.00000000000000E+00,-2.57512098855788E-32,-3.26806804316963E-16,0.00000000000000E+00,-3.87441932568337E-16,-2.93065903086174E-15
-8.11601776799149E-35,-5.40238115631304E-08,7.60462463165640E-16,5.80000000000000E-01,5.40238119538288E-08,2.90653772078250E-15,0.00000000000000E+00,1.04616530723193E-32,-3.41416440234330E-16,0.00000000000000E+00,-3.90506730339084E-16,-2.93949123295114E-15
-1.47811791089460E-36,-5.40880089578341E-08,7.60437605200558E-16,5.90000000000000E-01,5.40880093511554E-08,2.92979142066293E-15,0.00000000000000E+00,7.28282809997787E-32,-3.55834917171869E-16,0.00000000000000E+00,-3.93198843038980E-16,-2.94830382629413E-15
-8.11212799206870E-35,-5.41520976613332E-08,7.60412595269024E-16,6.00000000000000E-01,5.41520980579569E-08,2.95283862712887E-15,0.00000000000000E+00,-3.21890467004535E-32,-3.70066177578425E-16,0.00000000000000E+00,-3.96581019327377E-16,-2.95709692123472E-15
-1.60764441930484E-34,-5.42160768328502E-08,7.60387433500153E-16,6.10000000000000E-01,5.42160772322156E-08,2.97568299633051E-15,0.00000000000000E+00,-2.77630821524607E-32,-3.84113766633199E-16,0.00000000000000E+00,-3.99440047767194E-16,-2.96587062856364E-15
-2.40417328380087E-34,-5.42799457856962E-08,7.60362120013431E-16,6.20000000000000E-01,5.42799461881555E-08,2.99832787416689E-15,0.00000000000000E+00,-1.19100047617279E-31,-3.97980917500153E-16,0.00000000000000E+00,-4.02663933338295E-16,-2.97462506074880E-15
-1.41004683224912E-36,-5.43437040137083E-08,7.60336654894029E-16,6.30000000000000E-01,5.43437044198201E-08,3.02077637555471E-15,0.00000000000000E+00,-5.23064354897752E-33,-4.11670630860569E-16,0.00000000000000E+00,-4.05944815913575E-16,-2.98336033200458E-15
-8.10629332818475E-35,-5.44073512240019E-08,7.60311038185369E-16,6.40000000000000E-01,5.44073516333370E-08,3.04303145757663E-15,0.00000000000000E+00,-5.43192282902922E-32,-4.25185751897727E-16,0.00000000000000E+00,-4.09216349600759E-16,-2.99207655441772E-15
-1.60715819731459E-34,-5.44708872948001E-08,7.60285269943701E-16,6.50000000000000E-01,5.44708877068750E-08,3.06509598814932E-15,0.00000000000000E+00,-4.67749674024584E-32,-4.38529037780456E-16,0.00000000000000E+00,-4.12145568477533E-16,-3.00077383826322E-15
-5.33877580310321E-33,-5.45343122447307E-08,7.60259350200480E-16,6.60000000000000E-01,5.45343126604131E-08,3.08697280879966E-15,0.00000000000000E+00,-2.97749968580525E-32,-4.51703221616609E-16,0.00000000000000E+00,-4.15775049212358E-16,-3.00945229170082E-15
4.77838550429149E-33,-5.45976261836093E-08,7.60233278990426E-16,6.70000000000000E-01,5.45976266024896E-08,3.10866479109611E-15,0.00000000000000E+00,3.21894661121442E-33,-4.64711068877245E-16,0.00000000000000E+00,-4.18955632566650E-16,-3.01811202051520E-15
2.18936037482552E-33,-5.46608292385270E-08,7.60207056367739E-16,6.80000000000000E-01,5.46608296611417E-08,3.13017488417978E-15,0.00000000000000E+00,-4.58694986924752E-32,-4.77555425048316E-16,0.00000000000000E+00,-4.22658326129001E-16,-3.02675312805672E-15
2.14953879382062E-33,-5.47239214796794E-08,7.60180682433652E-16,6.90000000000000E-01,5.47239219052757E-08,3.15150615345710E-15,0.00000000000000E+00,2.81657782760533E-32,-4.90239254523780E-16,0.00000000000000E+00,-4.25555540830908E-16,-3.03537571494427E-15
2.06988104515111E-33,-5.47869028371391E-08,7.60154157355636E-16,7.00000000000000E-01,5.47869032661168E-08,3.17266180952626E-15,0.00000000000000E+00,-3.46032460166187E-32,-5.02765669660325E-16,0.00000000000000E+00,-4.29091444657494E-16,-3.04397987901316E-15
7.83254973556986E-35,-5.48497730322626E-08,7.60127481375475E-16,7.10000000000000E-01,5.48497734649451E-08,3.19364522670896E-15,0.00000000000000E+00,6.19643798859214E-32,-5.15137949299548E-16,0.00000000000000E+00,-4.32614518994549E-16,-3.05256571560026E-15
3.85039163508002E-35,-5.49125315109545E-08,7.60100654852879E-16,7.20000000000000E-01,5.49125319471617E-08,3.21445995051902E-15,0.00000000000000E+00,-2.73605978877434E-32,-5.27359546129568E-16,0.00000000000000E+00,-4.36229303434380E-16,-3.06113331719841E-15
-5.09972962379615E-33,-5.49751774027056E-08,7.60073678264717E-16,7.30000000000000E-01,5.49751778424354E-08,3.23510969429115E-15,0.00000000000000E+00,-5.06978132122804E-32,-5.39434083242942E-16,0.00000000000000E+00,-4.39809891784396E-16,-3.06968277382261E-15
-4.11441078788974E-35,-5.50377094968491E-08,7.60046552216987E-16,7.40000000000000E-01,5.50377099399651E-08,3.25559832514447E-15,0.00000000000000E+00,2.48462867300164E-32,-5.51365340194707E-16,0.00000000000000E+00,-4.43232186531693E-16,-3.07821417285837E-15
-1.20796994328494E-34,-5.51001262440215E-08,7.60019277442382E-16,7.50000000000000E-01,5.51001266908746E-08,3.27592984019628E-15,0.00000000000000E+00,-3.13842685503866E-32,-5.63157229322855E-16,0.00000000000000E+00,-4.46724104540918E-16,-3.08672759903904E-15
-1.60623437553304E-34,-5.51624257745677E-08,7.59991854806632E-16,7.60000000000000E-01,5.51624262250242E-08,3.29610833417268E-15,0.00000000000000E+00,-2.49464654438271E-32,-5.74813763347614E-16,0.00000000000000E+00,-4.50359232004316E-16,-3.09522313428103E-15
-2.00449880778101E-34,-5.52246059414908E-08,7.59964285291391E-16,7.70000000000000E-01,5.52246063954490E-08,3.31613796120973E-15,0.00000000000000E+00,1.04615997293944E-32,-5.86339016784199E-16,0.00000000000000E+00,-4.53929517886938E-16,-3.10370085819227E-15
-2.40276324002898E-34,-5.52866643766226E-08,7.59936569980456E-16,7.80000000000000E-01,5.52866648343783E-08,3.33602289162415E-15,0.00000000000000E+00,-5.63295750347989E-33,-5.97737082469021E-16,0.00000000000000E+00,-4.57835303310161E-16,-3.11216084828700E-15
-2.80102767227703E-34,-5.53485985625308E-08,7.59908710040667E-16,7.90000000000000E-01,5.53485990238282E-08,3.35576726701692E-15,0.00000000000000E+00,-4.26505844509843E-32,-6.09012025857936E-16,0.00000000000000E+00,-4.61377954870123E-16,-3.12060318077214E-15
