Vs,Vg,Vd,Is,Ig,Id,Ib,Qs,Qg,Qd,Qb,y
0.5,1.45,-5.49002E-33,0.000169205,7.40352E-32,-0.000169205,-2.08993E-16,7.34116E-16,1.00996E-14,-4.63818E-15,-5.80695E-15,0
0.5,1.45,-1.32E-34,0.000169,1.09E-31,-0.000169,-1.46E-15,7.34E-16,1.01E-14,-4.64E-15,-5.81E-15,0
0.7,1.5,0.153846154,0.000168516,1.03005E-30,-0.000168516,-3.50333E-16,8.27392E-16,9.202E-15,-3.9636E-15,-5.67734E-15,0
0.6,1.35,0.038461538,0.000168452,-2.86494E-31,-0.000168452,-2.96635E-16,8.14354E-16,8.91434E-15,-3.90435E-15,-5.43597E-15,0
0.7,1.4,0.115384615,0.000167473,3.86284E-32,-0.000167473,-4.59201E-16,8.54535E-16,8.68762E-15,-3.70156E-15,-5.45224E-15,0
0.6,1.45,0.076923077,0.00016747,1.73805E-31,-0.00016747,-2.61321E-16,7.8859E-16,9.46449E-15,-4.18733E-15,-5.67726E-15,0
0.6,1.25,-1.7E-33,0.000166,1.8E-31,-0.000166,-2.22E-16,8.41E-16,8.43E-15,-3.66E-15,-5.22E-15,0
0.5,1.4,4.97E-33,0.000166,5.15E-32,-0.000166,-2.21E-16,7.46E-16,9.74E-15,-4.42E-15,-5.68E-15,0
0.6,1.25,1.20112E-32,0.000165788,2.31768E-31,-0.000165788,-1.91192E-16,8.4132E-16,8.42982E-15,-3.662E-15,-5.22087E-15,0
0.5,1.4,-3.91923E-34,0.000165674,9.01304E-32,-0.000165674,-2.0235E-16,7.46132E-16,9.74038E-15,-4.42211E-15,-5.67591E-15,0
0.7,1.2,3.55944E-34,0.000164004,5.40776E-31,-0.000164004,-2.47914E-16,9.14732E-16,8.00242E-15,-3.42982E-15,-5.09913E-15,0
0.7,1.2,4.84E-33,0.000164,2.58E-31,-0.000164,-2.02E-16,9.15E-16,8E-15,-3.43E-15,-5.1E-15,0
0.7,1.25,0.038461538,0.000163551,-1.28756E-31,-0.000163551,-7.52423E-16,8.9874E-16,8.11802E-15,-3.45279E-15,-5.17574E-15,0
0.7,1.45,0.153846154,0.000163177,-9.65667E-32,-0.000163177,-3.96567E-16,8.40409E-16,8.87521E-15,-3.76763E-15,-5.55961E-15,0
0.6,1.4,0.076923077,0.000162901,-7.72643E-32,-0.000162901,-2.70095E-16,8.01094E-16,9.12362E-15,-3.98279E-15,-5.55352E-15,0
0.7,1.3,0.076923077,0.00016249,1.03005E-30,-0.00016249,-6.61146E-16,8.83231E-16,8.24553E-15,-3.48288E-15,-5.25763E-15,0
0.6,1.3,0.038461538,0.000162427,-5.44011E-31,-0.000162427,-3.89507E-16,8.27374E-16,8.59981E-15,-3.71603E-15,-5.32286E-15,0
0.5,1.35,-1.52E-34,0.000162,4.64E-31,-0.000162,-2.34E-16,7.58E-16,9.39E-15,-4.21E-15,-5.55E-15,0
0.5,1.35,1.3048E-30,0.000161755,-1.15906E-36,-0.000161755,-2.57311E-15,7.58312E-16,9.38776E-15,-4.21024E-15,-5.54742E-15,0
0.7,1.35,0.115384615,0.000160448,1.03006E-31,-0.000160448,-5.8972E-16,8.68232E-16,8.39151E-15,-3.52393E-15,-5.34753E-15,0
0.5,1.5,0.038461538,0.000160429,-1.60946E-31,-0.000160429,-1.29932E-16,7.21945E-16,1.03621E-14,-4.75053E-15,-5.94488E-15,0
0.6,1.5,0.115384615,0.000160105,2.57493E-31,-0.000160105,-2.56836E-16,7.75825E-16,9.70427E-15,-4.28559E-15,-5.80599E-15,0
0.6,1.2,1.20112E-32,0.000158003,-4.37768E-31,-0.000158003,-2.36151E-16,8.55059E-16,8.14727E-15,-3.49245E-15,-5.12169E-15,0
0.6,1.2,2.16E-34,0.000158,1.42E-31,-0.000158,-1.79E-16,8.55E-16,8.15E-15,-3.49E-15,-5.12E-15,0
0.6,1.35,0.076923077,0.000157766,-4.50729E-32,-0.000157766,-2.83142E-16,8.13819E-16,8.79242E-15,-3.78415E-15,-5.43377E-15,0
0.7,1.5,0.192307692,0.000157624,1.1073E-30,-0.000157624,-3.91559E-16,8.26643E-16,9.08397E-15,-3.84702E-15,-5.67519E-15,0
0.5,1.45,0.038461538,0.000157393,-1.28756E-32,-0.000157393,-1.76403E-16,7.33795E-16,9.9939E-15,-4.52843E-15,-5.81074E-15,0
0.5,1.3,8.82056E-34,0.000157379,-3.4765E-31,-0.000157379,-2.26971E-16,7.70671E-16,9.04287E-15,-4.0032E-15,-5.422E-15,0
0.7,1.4,0.153846154,0.000157148,1.28758E-31,-0.000157148,-4.69021E-16,8.53716E-16,8.56024E-15,-3.57867E-15,-5.44698E-15,0
0.5,1.3,2.4E-33,0.000157,-2.29E-30,-0.000157,-1.89E-16,7.71E-16,9.04E-15,-4E-15,-5.42E-15,0
0.6,1.45,0.115384615,0.000156208,-7.083E-32,-0.000156208,-3.21504E-16,7.8811E-16,9.35104E-15,-4.07305E-15,-5.67766E-15,0
0.6,1.25,0.038461538,0.000155635,1.15881E-31,-0.000155635,-5.05594E-16,8.40699E-16,8.29837E-15,-3.53532E-15,-5.21554E-15,0
0.7,1.15,-9.18657E-34,0.000154472,1.93131E-31,-0.000154472,-2.39669E-16,9.30169E-16,7.75336E-15,-3.27865E-15,-5.01676E-15,0
0.7,1.2,0.038461538,0.000154328,1.28753E-31,-0.000154328,-6.31739E-16,9.13771E-16,7.86269E-15,-3.29817E-15,-5.09014E-15,0
0.5,1.4,0.038461538,0.000154042,-4.5064E-32,-0.000154042,-2.62106E-16,7.45794E-16,9.63102E-15,-4.30975E-15,-5.67862E-15,0
